city,country
Adelaide,Australia
Alexandria,Australia
Amsterdam,Netherlands
Artarmon,Australia
Ashfield,Australia
Auckland,New Zealand
Balmain,Australia
Bangalore,India
Bangkok,Thailand
Bankstown,Australia
Barcelona,Spain
Bella Vista,Australia
Blacktown,Australia
Bondi Beach,Australia
Bratislava,Slovakia
Brisbane,Australia
Brunswick,Australia
Burswood,Australia
Burwood,Australia
Camberwell,Australia
Canberra,Australia
Charlottesville,United States
Chatswood,Australia
Claremont,Australia
Cloncurry,Australia
Collingwood,Australia
Crows Nest,Australia
Darlinghurst,Australia
Docklands,Australia
Doncaster,Australia
Drummoyne,Australia
Erina,Australia
Fitzroy,Australia
Geneva,Switzerland
Gladesville,Australia
Glen Iris,Australia
Greenacre,Australia
Greenwich,Australia
Hamilton,Australia
Hunters Hill,Australia
Kilburn,Australia
Kuala Lumpur,Malaysia
Lakemba,Australia
Lane Cove,Australia
Lisarow,Australia
Liverpool,Australia
London,United Kingdom
Macquarie Park,Australia
Mascot,Australia
Melbourne,Australia
Milsons Point,Australia
Miranda,Australia
Mortdale,Australia
Mosman,Australia
Mumbai,India
Nadi,Fiji
Nambour,Australia
Narraweena,Australia
North Melbourne,Australia
North Ryde,Australia
North Sydney,Australia
Northmead,Australia
Pacifica,United States
Paddington,Australia
Parramatta,Australia
Pascoe Vale,Australia
Perth,Australia
Petaling Jaya,Malaysia
Preston,Australia
Redfern,Australia
Richmond,Australia
Riverwood,Australia
Rockdale,Australia
Rozelle,Australia
Sale,Australia
San Francisco,United States
Seoul,"Korea, South"
Silverwater,Australia
Singapore,Singapore
South Melbourne,Australia
South San Francisco,United States
South Yarra,Australia
Southbank,Australia
Spring Hill,Australia
Strathfield,Australia
Sunshine Coast,Australia
Surry Hills,Australia
Sydney,Australia
Tamworth,Australia
Tullamarine,Australia
Ultimo,Australia
Warragul,Australia
Waterloo,Australia
Wentworthville,Australia
West Melbourne,Australia
Wetherill Park,Australia
Wilmington,United States
Wingfield,Australia
Winston Hills,Australia
Woolloomooloo,Australia
Yarralumla,Australia
Zetland,Australia
