month,sample_days,aud_sgd_mean,aud_per_sgd_factor
2023-01,20,0.921225,1.08551114
2023-02,20,0.92024,1.08667304
2023-03,23,0.896574,1.11535701
2023-04,17,0.891647,1.12151999
2023-05,23,0.890691,1.12272343
2023-06,21,0.903286,1.10706943
2023-07,21,0.899252,1.11203486
2023-08,22,0.876386,1.14104925
2023-09,21,0.875643,1.14201811
2023-10,21,0.869443,1.15016184
2023-11,22,0.875636,1.14202658
2023-12,19,0.890668,1.12275228
2024-01,21,0.888229,1.12583634
2024-02,21,0.877995,1.13895834
2024-03,20,0.879005,1.13764996
2024-04,20,0.883325,1.13208615
2024-05,23,0.894526,1.11791038
2024-06,19,0.898542,1.1129139
2024-07,23,0.898783,1.1126161
2024-08,21,0.8763,1.1411617
2024-09,21,0.877262,1.13991044
2024-10,22,0.878932,1.13774468
2024-11,21,0.873381,1.14497574
2024-12,20,0.856205,1.16794459
2025-01,21,0.8478,1.17952347
2025-02,20,0.84829,1.17884214
2025-03,21,0.841586,1.1882331
2025-04,19,0.832205,1.20162662
2025-05,22,0.833973,1.19907998
2025-06,20,0.83369,1.19948662
2025-07,23,0.838043,1.19325551
2025-08,20,0.83443,1.19842288
2025-09,22,0.8471,1.18049817
2025-10,22,0.847645,1.17973853
2025-11,20,0.8479,1.17938436
2025-12,21,0.857419,1.16629086
2026-01,20,0.868105,1.15193439
2026-02,20,0.89371,1.1189312
2026-03,22,0.898627,1.11280842
2026-04,19,0.904974,1.10500451
2026-05,21,0.915857,1.09187334
2026-06,21,0.904648,1.10540279
2026-07,23,0.899248,1.1120405
2026-08,20,0.906435,1.10322307
2026-09,16,0.910056,1.09883318
